survey,country,edyears,pct15_19,pct15_19_male,pct15_19_female,pct15_19_urban,pct15_19_rural,pct15_19_q1,pct15_19_q2,pct15_19_q3,pct15_19_q4,pct15_19_q5,pct20_29,pct20_29_male,pct20_29_female,pct20_29_urban,pct20_29_rural,pct20_29_q1,pct20_29_q2,pct20_29_q3,pct20_29_q4,pct20_29_q5,pct30_39,pct30_39_male,pct30_39_female,pct30_39_urban,pct30_39_rural,pct30_39_q1,pct30_39_q2,pct30_39_q3,pct30_39_q4,pct30_39_q5,pct40_49,pct40_49_male,pct40_49_female,pct40_49_urban,pct40_49_rural,pct40_49_q1,pct40_49_q2,pct40_49_q3,pct40_49_q4,pct40_49_q5
AM7,Armenia,11,.54096729,.52431387,.55710912,.58719945,.48374838,.39990225,.54368925,.51636672,.60755795,.62707132,.60396278,.521267,.68287551,.73084289,.44587499,.32050404,.54796612,.60279536,.73676234,.81109005,.45959669,.40075928,.51483142,.58452624,.260582,.18032153,.31173897,.39754069,.59821165,.70397627,.49235207,.44628596,.53293806,.61968851,.31820986,.24176013,.38079572,.47146159,.59365034,.74410951
AM7,Armenia,12,.32660878,.32047141,.33255765,.35784277,.28795221,.22105992,.3435663,.30029362,.36217719,.39706945,.56039691,.46176341,.65451831,.69714934,.39000857,.28138056,.48508525,.55852669,.69809312,.78121448,.45012143,.39169452,.50497091,.57506555,.25108358,.16385272,.30842641,.38104916,.5899691,.69867152,.47284883,.42084476,.51866639,.59979272,.29924345,.21697125,.3630271,.4422498,.57894272,.73127306
AM7,Armenia,13,.080467813,.067043811,.093479455,.12268576,.028217021,.033542126,.031411543,.087731011,.108244,.13863344,.46293288,.36039761,.5607776,.60905087,.28087541,.17007102,.37585938,.46447062,.6014865,.70729125,.39865991,.35729614,.43749097,.51635277,.21117342,.12672183,.27464941,.31328207,.51248723,.65614074,.39204887,.3552433,.42447603,.51615155,.22232915,.15019174,.28279731,.36128184,.48003507,.65582883
AM7,Armenia,14,.016224286,.0081655337,.024035538,.025399383,.0048687817,.0069988477,.004181637,.010513926,.031323526,.026783142,.3449285,.27563068,.41105622,.46096161,.20035562,.11866885,.27155024,.32461593,.46073031,.55259359,.29103133,.29481342,.2874808,.39498693,.12542856,.053288963,.17848693,.170662,.39773157,.54672331,.23960111,.22712253,.25059542,.34429216,.09642826,.041587286,.12329499,.22114904,.29592073,.49282283
AM7,Armenia,15,.00080003322,,.0015755584,.0014465554,,,,.0044329516,,,.18543527,.14545533,.22358626,.25839102,.094535053,.042942028,.12358643,.19786818,.24229039,.32739624,.21312058,.2154211,.21096089,.29572377,.081532449,.027476294,.12418752,.10770836,.29684728,.4215534,.20164196,.19857047,.20434836,.29792604,.069966339,.025036888,.093550995,.1781344,.25741509,.43263778
AM7,Armenia,16,,,,,,,,,,,.062644087,.045247272,.079245031,.090560891,.027860634,.015335,.043318182,.060867917,.076093204,.12014121,.045912724,.039726783,.051719896,.066471785,.013161731,.0037050319,.020469818,.01982503,.059419185,.1033789,.027654398,.025150273,.029860936,.041479535,.0087478273,.00075105194,.010699097,.011204075,.029786965,.081104614
AM7,Armenia,17,,,,,,,,,,,.012923797,.0077130161,.017896153,.018525541,.0059440252,.0017258575,.0076526543,.014963384,.014179798,.027038451,.022988366,.017695563,.027957087,.032206807,.0083031319,,.011912152,.011497441,.026456403,.052079096,.019128241,.016278051,.021639677,.027898623,.0071344473,,.0081556262,.01005911,.023422288,.050917875
AM7,Armenia,18,,,,,,,,,,,.0043925866,.0023459897,.0063455044,.0058758231,.0025443123,,.0050539603,.0042642951,.0044533187,.0080938525,.013023836,.0086482288,.01713152,.018377872,.0044946517,.0017092751,.0054241852,.0080286479,.015648171,.028392127,.0086602494,.0099876774,.0074910666,.011919817,.0042029228,,.006854672,.003577166,,.022682315
AM7,Armenia,19,,,,,,,,,,,.002031835,.0010336947,.0029842583,.0020549234,.0020028481,,.0039783996,.00084620609,.0016393885,.0033788751,.0074106045,.0043003284,.010330433,.00980727,.0035925491,.0010744915,,.003604172,.0083139231,.016501959,.0038356173,.0041475878,.0035610863,.0055318,.0015163424,,,.0016811825,.0086064078,
AM7,Armenia,20,,,,,,,,,,,.00034619871,,.00067650742,,.0007773515,,.0015440811,,,,.0050788927,.0040869568,.0060100844,.0066483207,.0025786366,,.0040536742,.0011323758,.0048869508,.01245137,.0023960634,.0034844009,.0014375281,.0035773702,,,,,.0032056924,.0066875042
