survey,edyears,pct15_19,pct15_19_male,pct15_19_female,pct15_19_urban,pct15_19_rural,pct15_19_q1,pct15_19_q2,pct15_19_q3,pct15_19_q4,pct15_19_q5,pct20_30,pct20_30_male,pct20_30_female,pct20_30_urban,pct20_30_rural,pct20_30_q1,pct20_30_q2,pct20_30_q3,pct20_30_q4,pct20_30_q5,pct40_50,pct40_50_male,pct40_50_female,pct40_50_urban,pct40_50_rural,pct40_50_q1,pct40_50_q2,pct40_50_q3,pct40_50_q4,pct40_50_q5
AM7,9,.91508138,.89378005,.93572819,.92659712,.90082908,.90310234,.89687961,.89806223,.93679011,.93739188,.93612593,.90471345,.96648574,.96928537,.89420229,.82997704,.93579274,.95269597,.97580862,.98011363,.93589878,.92103183,.94852036,.97274977,.88681358,.82214469,.93114257,.96391779,.96621925,.98981178
AM7,10,.76109731,.73022836,.79101783,.79507577,.71904403,.6830914,.74953485,.71272236,.80210483,.84676766,.93033248,.89703071,.96251827,.96681535,.88420683,.80891544,.9338029,.94860631,.97488308,.97774702,.93300951,.91741049,.94625258,.9705447,.88301295,.81887209,.92717677,.96097529,.96571702,.98597682
AM7,11,.54096729,.52431387,.55710912,.58719945,.48374838,.39990225,.54368925,.51636672,.60755795,.62707132,.5950796,.51758385,.66997808,.72293264,.43343332,.31252724,.52908987,.58262813,.72790009,.81153101,.48600319,.44259939,.52285218,.61922336,.30855548,.22984582,.37651151,.46983662,.60171467,.74018753
AM7,12,.32660878,.32047141,.33255765,.35784277,.28795221,.22105992,.3435663,.30029362,.36217719,.39706945,.55527943,.46367413,.6438145,.69274974,.38147384,.27364641,.47237578,.54228771,.69300729,.78562313,.46759462,.41734549,.51025516,.60102981,.28986055,.20945452,.35664123,.44244236,.58813351,.72881228
AM7,13,.080467813,.067043811,.093479455,.12268576,.028217021,.033542126,.031411543,.087731011,.108244,.13863344,.46437922,.36910295,.55646229,.61077893,.27928412,.16886534,.37262401,.4520967,.6026991,.71681476,.38508204,.35400018,.41146988,.51269031,.21510932,.14668977,.2738905,.36290818,.48127091,.6506561
AM7,14,.016224286,.0081655337,.024035538,.025399383,.0048687817,.0069988477,.004181637,.010513926,.031323526,.026783142,.34588525,.2850318,.40469927,.4649879,.19530223,.1136887,.2656388,.31281278,.46634018,.56323135,.23067132,.22292802,.23724499,.3369765,.089074038,.039967138,.12113205,.20540397,.29665256,.48412248
AM7,15,.00080003322,,.0015755584,.0014465554,,,,.0044329516,,,.19401243,.16089642,.22601877,.27180433,.095659263,.041188933,.1288676,.19139832,.25476059,.35274062,.19397561,.19473696,.19332898,.29071376,.065121524,.025834875,.08870922,.1668409,.25871322,.42455253
AM7,16,,,,,,,,,,,.062476158,.047243476,.07719861,.090532437,.027004495,.014842958,.041429151,.056458332,.076211967,.12318201,.027583342,.027815642,.027385855,.042612717,.0075642923,.0006177387,.0096489498,.013084132,.029384337,.084546745
AM7,17,,,,,,,,,,,.015096397,.010886927,.019165134,.021903586,.0064902864,.0020692947,.0090061883,.013635618,.01811632,.032685921,.019218054,.017604925,.020587312,.029207656,.0059119151,,.0068717808,.012154055,.024033541,.052462999
AM7,18,,,,,,,,,,,.0048048156,.0027143022,.0068256222,.0067840707,.002302736,.00048599305,.0045109377,.0038859262,.00626803,.0085765785,.0087440833,.010230797,.0074816151,.012693975,.0034827602,,.0057756393,.0068886452,,.02010035
AM7,19,,,,,,,,,,,.0025948025,.0015438743,.0036108701,.0032136647,.0018126887,,.0035509444,.00077114592,.0037289062,.0044877836,.0046852236,.0052190651,.0042317309,.0072592213,.0012565737,,,.0053485008,.010562718,
AM7,20,,,,,,,,,,,.00061618089,.00062192435,.00061099586,.00054732198,.00070356368,,.0013781899,,,.0015576559,.002712012,.0029900873,.0024756617,.0042621125,,,,,.0060223257,.0059262794
AM7,21,,,,,,,,,,,,,,,,,,,,,.00027758774,,.00051313429,,.00064718071,,.0013009243,,,
AO7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AO7,1,.91438067,.94202548,.88873613,.96432865,.78768253,.73203456,.84815985,.9444555,.97393924,.99112302,.84644997,.91307849,.79507309,.92345625,.65541357,.59836674,.69175386,.87218404,.94900304,.9828968,.75691968,.88804263,.64652818,.85930711,.57279027,.53019261,.61708611,.79355752,.87587625,.95440179
AO7,2,.90333247,.93210423,.87664258,.96021223,.75905132,.69880193,.82715136,.93769062,.97069633,.98959881,.83295059,.90629381,.77639616,.91716868,.62402338,.55527568,.66976804,.86296123,.94406301,.9810611,.72860163,.86983377,.60969937,.84803271,.51382166,.45626545,.57675707,.78475243,.86424756,.94886267
AO7,3,.87212795,.9000293,.84624541,.94992924,.67477727,.60277098,.75781178,.92595428,.96275812,.98629439,.80206764,.88872504,.73524684,.90039057,.55814958,.48784158,.60515642,.83298647,.92862672,.97996807,.68032104,.843225,.54317343,.81527901,.43761817,.37685636,.49689043,.74963617,.82431459,.93899655
